id;key;locale;value
v449-en-026;ess.leaveType;en-US;Leave Type
v449-ar-027;ess.advanceAmount;ar-EG;مبلغ السلفة المطلوب
v449-en-027;ess.advanceAmount;en-US;Requested Advance Amount
v449-ar-028;ess.installmentsAmount;ar-EG;قيمة القسط الشهري
v449-en-028;ess.installmentsAmount;en-US;Monthly Installment Amount
v449-ar-029;ESS_EMPLOYEE_PROFILE_NOT_LINKED;ar-EG;حساب المستخدم غير مرتبط بملف موظف نشط في النظام.
v449-en-029;ESS_EMPLOYEE_PROFILE_NOT_LINKED;en-US;User account is not linked to an active employee profile.
v449-ar-030;ESS_PAYSLIP_NOT_FOUND;ar-EG;قسيمة الراتب المطلوبة غير موجودة أو غير متاحة لحسابك.
v449-en-030;ESS_PAYSLIP_NOT_FOUND;en-US;Requested payslip not found or not accessible.
v449-ar-031;ESS_LEAVE_BALANCE_INSUFFICIENT;ar-EG;رصيد الإجازات المتاح لديك لا يكفي لطلب هذه المدة.
v449-en-031;ESS_LEAVE_BALANCE_INSUFFICIENT;en-US;Insufficient leave balance for requested period.
v449-ar-032;ESS_LEAVE_OVERLAP;ar-EG;يوجد طلب إجازة مسجل مسبقاً يتقاطع مع هذه الفترة الزمنية.
v449-en-032;ESS_LEAVE_OVERLAP;en-US;An overlapping leave request already exists for this period.
v449-ar-033;ESS_ADVANCE_AMOUNT_INVALID;ar-EG;مبلغ السلفة المطلوب يجب أن يكون أكبر من الصفر.
v449-en-033;ESS_ADVANCE_AMOUNT_INVALID;en-US;Requested advance amount must be greater than zero.
v449-ar-034;ESS_ADVANCE_INSTALLMENTS_INVALID;ar-EG;عدد أقساط السلفة يجب أن يكون بين 1 و 36 شهراً.
v449-en-034;ESS_ADVANCE_INSTALLMENTS_INVALID;en-US;Number of advance installments must be between 1 and 36 months.
v449-ar-035;ESS_ADVANCE_NOT_FOUND;ar-EG;طلب السلفة المطلوب غير موجود.
v449-en-035;ESS_ADVANCE_NOT_FOUND;en-US;Requested advance not found.
v449-ar-036;common.department;ar-EG;القسم / الإدارة
v449-en-036;common.department;en-US;Department
v449-ar-037;common.pending;ar-EG;قيد المراجعة
v449-en-037;common.pending;en-US;Pending

