id;key;locale;value
v246-0053;manualAttendance.ui.bulkCount;en-US;{workers} workers × {days} days
v246-0054;manualAttendance.ui.bulkCount;ar-EG;{workers} عامل × {days} يوم
v246-0055;manualAttendance.ui.bulkPreview;en-US;Bulk update preview
v246-0056;manualAttendance.ui.bulkPreview;ar-EG;معاينة التعديل المجمع
v246-0057;manualAttendance.ui.bulkPreviewSummary;en-US;{workers} workers will be updated across {days} days ({cells} cells).
v246-0058;manualAttendance.ui.bulkPreviewSummary;ar-EG;سيتم تحديث {workers} عامل في {days} يوم ({cells} خلية).
v246-0059;manualAttendance.ui.categoryHelp;en-US;Worker category — filter the matrix by category
v246-0060;manualAttendance.ui.categoryHelp;ar-EG;فئة العامل — تصفية المصفوفة حسب الفئة
v246-0061;manualAttendance.ui.chooseImportFile;en-US;Choose import file
v246-0062;manualAttendance.ui.chooseImportFile;ar-EG;اختر ملف الاستيراد
v246-0063;manualAttendance.ui.clearSelection;en-US;Clear selection
v246-0064;manualAttendance.ui.clearSelection;ar-EG;إلغاء التحديد
v246-0065;manualAttendance.ui.confirmApply;en-US;Confirm apply
v246-0066;manualAttendance.ui.confirmApply;ar-EG;تأكيد التطبيق
v246-0067;manualAttendance.ui.contractorHelp;en-US;Contractor — filter workers by contractor
v246-0068;manualAttendance.ui.contractorHelp;ar-EG;المقاول — تصفية العمال حسب المقاول
v246-0069;manualAttendance.ui.created;en-US;Created:
v246-0070;manualAttendance.ui.created;ar-EG;جديد:
v246-0071;manualAttendance.ui.currentHalf;en-US;Current half-month
v246-0072;manualAttendance.ui.currentHalf;ar-EG;النصف الحالي
v246-0073;manualAttendance.ui.dailyRate;en-US;Daily rate
v246-0074;manualAttendance.ui.dailyRate;ar-EG;اليومية
v246-0075;manualAttendance.ui.dailyTotal;en-US;Daily total
v246-0076;manualAttendance.ui.dailyTotal;ar-EG;الإجمالي اليومي
v246-0077;manualAttendance.ui.date;en-US;Date
v246-0078;manualAttendance.ui.date;ar-EG;التاريخ
v246-0079;manualAttendance.ui.dayFri;en-US;Fri
v246-0080;manualAttendance.ui.dayFri;ar-EG;جمع
v246-0081;manualAttendance.ui.dayMon;en-US;Mon
v246-0082;manualAttendance.ui.dayMon;ar-EG;إثن
v246-0083;manualAttendance.ui.daySat;en-US;Sat
v246-0084;manualAttendance.ui.daySat;ar-EG;سبت
v246-0085;manualAttendance.ui.daySun;en-US;Sun
v246-0086;manualAttendance.ui.daySun;ar-EG;أحد
v246-0087;manualAttendance.ui.dayThu;en-US;Thu
v246-0088;manualAttendance.ui.dayThu;ar-EG;خمس
v246-0089;manualAttendance.ui.dayTue;en-US;Tue
v246-0090;manualAttendance.ui.dayTue;ar-EG;ثلا
v246-0091;manualAttendance.ui.dayWed;en-US;Wed
v246-0092;manualAttendance.ui.dayWed;ar-EG;أرب
v246-0093;manualAttendance.ui.deductionHours;en-US;Deduction hours
v246-0094;manualAttendance.ui.deductionHours;ar-EG;ساعات الخصم
v246-0095;manualAttendance.ui.deductionRule;en-US;Daily wage ÷ {hours}
v246-0096;manualAttendance.ui.deductionRule;ar-EG;الأجر اليومي ÷ {hours}
v246-0097;manualAttendance.ui.endDate;en-US;End date
v246-0098;manualAttendance.ui.endDate;ar-EG;تاريخ النهاية
v246-0099;manualAttendance.ui.endDateHelp;en-US;End date — last day shown in the attendance matrix
v246-0100;manualAttendance.ui.endDateHelp;ar-EG;تاريخ النهاية — آخر يوم يظهر في مصفوفة الحضور
v246-0101;manualAttendance.ui.eyebrow;en-US;Manual entry matrix
v246-0102;manualAttendance.ui.eyebrow;ar-EG;مصفوفة الإدخال اليدوي
v246-0103;manualAttendance.ui.failed;en-US;Failed:
v246-0104;manualAttendance.ui.failed;ar-EG;فشل:
v246-0105;manualAttendance.ui.fixFailedCells;en-US;"Correct the cells marked in red and save again; valid changes are already saved."
v246-0106;manualAttendance.ui.fixFailedCells;ar-EG;صحّح الخلايا المعلّمة بالأحمر ثم أعد الحفظ؛ التعديلات الصحيحة محفوظة.
v246-0107;manualAttendance.ui.fullDayOne;en-US;Full day (1)
v246-0108;manualAttendance.ui.fullDayOne;ar-EG;يوم كامل (1)
v246-0109;manualAttendance.ui.fullMonth;en-US;Full month
v246-0110;manualAttendance.ui.fullMonth;ar-EG;الشهر الكامل
v246-0111;manualAttendance.ui.halfDay;en-US;Half day
v246-0112;manualAttendance.ui.halfDay;ar-EG;نصف يوم
v246-0113;manualAttendance.ui.halfDayHalf;en-US;Half day (½)
v246-0114;manualAttendance.ui.halfDayHalf;ar-EG;نصف يوم (½)
v246-0115;manualAttendance.ui.halfDayPointFive;en-US;Half day (0.5)
v246-0116;manualAttendance.ui.halfDayPointFive;ar-EG;نصف يوم (0.5)
v246-0117;manualAttendance.ui.hasDeduction;en-US;Has deduction
v246-0118;manualAttendance.ui.hasDeduction;ar-EG;يوجد خصم
v246-0119;manualAttendance.ui.hasOvertime;en-US;Has overtime
v246-0120;manualAttendance.ui.hasOvertime;ar-EG;يوجد أوفرتايم
v246-0121;manualAttendance.ui.holidayRate;en-US;Holiday pay rate:
v246-0122;manualAttendance.ui.holidayRate;ar-EG;معدل أجر العطلات:
v246-0123;manualAttendance.ui.holidayRule;en-US;{rate}× regular wage
v246-0124;manualAttendance.ui.holidayRule;ar-EG;{rate}× الأجر العادي
v246-0125;manualAttendance.ui.hourDeduction;en-US;Hourly deduction rate:
v246-0126;manualAttendance.ui.hourDeduction;ar-EG;معدل خصم ساعة:
v246-0127;manualAttendance.ui.indicators;en-US;Indicators
v246-0128;manualAttendance.ui.indicators;ar-EG;مؤشرات
v246-0129;manualAttendance.ui.lastSaveSummary;en-US;Last save summary
v246-0130;manualAttendance.ui.lastSaveSummary;ar-EG;ملخص آخر عملية حفظ
v246-0131;manualAttendance.ui.legendAbsent;en-US;■ Absent (0)
v246-0132;manualAttendance.ui.legendAbsent;ar-EG;■ غياب (0)
v246-0133;manualAttendance.ui.legendFull;en-US;■ Full day (1)
v246-0134;manualAttendance.ui.legendFull;ar-EG;■ يوم كامل (1)
v246-0135;manualAttendance.ui.legendHalf;en-US;■ Half day (0.5)
v246-0136;manualAttendance.ui.legendHalf;ar-EG;■ نصف يوم (0.5)
v246-0137;manualAttendance.ui.loadError;en-US;Could not load worker data: {detail}
v246-0138;manualAttendance.ui.loadError;ar-EG;تعذّر تحميل بيانات العمال: {detail}
v246-0139;manualAttendance.ui.negativeOvertimeWarning;en-US;Overtime hours cannot be negative
v246-0140;manualAttendance.ui.negativeOvertimeWarning;ar-EG;ساعات الأوفر تايم لا يمكن أن تكون سالبة
v246-0141;manualAttendance.ui.noEntriesToSave;en-US;There are no attendance entries to save.
v246-0142;manualAttendance.ui.noEntriesToSave;ar-EG;لا توجد تسجيلات لحفظها
v246-0143;manualAttendance.ui.noFilteredWorkers;en-US;No workers match the selected filters.
v246-0144;manualAttendance.ui.noFilteredWorkers;ar-EG;لا يوجد عمال مطابقون للفلترة المحددة.
v246-0145;manualAttendance.ui.noImportFile;en-US;No file chosen
v246-0146;manualAttendance.ui.noImportFile;ar-EG;لم يتم اختيار ملف
v246-0147;manualAttendance.ui.noWorkers;en-US;No workers are registered. Add workers from the Workers section first.
v246-0148;manualAttendance.ui.noWorkers;ar-EG;لا يوجد عمال مسجلون. أضف عمالاً من قسم العمال أولاً.
v246-0149;manualAttendance.ui.notes;en-US;Notes
v246-0150;manualAttendance.ui.notes;ar-EG;ملاحظات
v246-0151;manualAttendance.ui.optionalNotes;en-US;Optional notes...
v246-0152;manualAttendance.ui.optionalNotes;ar-EG;ملاحظات اختيارية...
v246-0153;manualAttendance.ui.overtimeHours;en-US;Overtime hours
v246-0154;manualAttendance.ui.overtimeHours;ar-EG;ساعات الأوفر تايم
v246-0155;manualAttendance.ui.overtimeRate;en-US;Overtime rate:
v246-0156;manualAttendance.ui.overtimeRate;ar-EG;معدل الأوفرتايم:
v246-0157;manualAttendance.ui.overtimeRule;en-US;{rate}× after {hours} hours
v246-0158;manualAttendance.ui.overtimeRule;ar-EG;{rate}× بعد {hours} ساعات
v246-0159;manualAttendance.ui.partialSave;en-US;"Saved valid changes: {saved}; {failed} failed. Review the red cells."
v246-0160;manualAttendance.ui.partialSave;ar-EG;حُفظ الصحيح: {saved}، وفشل {failed}. راجع الخلايا الحمراء.
v246-0161;manualAttendance.ui.periodSummary;en-US;{days} days | From {start} to {end} | {workers} workers | Total cells: {cells}
v246-0162;manualAttendance.ui.periodSummary;ar-EG;{days} يوم | من {start} إلى {end} | {workers} عامل | إجمالي الخلايا: {cells}
v246-0163;manualAttendance.ui.present;en-US;Present
v246-0164;manualAttendance.ui.present;ar-EG;حاضر
v246-0165;manualAttendance.ui.presentOne;en-US;Present (1)
v246-0166;manualAttendance.ui.presentOne;ar-EG;حاضر (1)
v246-0167;manualAttendance.ui.presets;en-US;Period shortcuts
v246-0168;manualAttendance.ui.presets;ar-EG;اختصارات الفترة
v246-0169;manualAttendance.ui.previewAttendance;en-US;Preview attendance update
v246-0170;manualAttendance.ui.previewAttendance;ar-EG;معاينة تطبيق الحضور
v246-0171;manualAttendance.ui.previewOvertime;en-US;Preview overtime
v246-0172;manualAttendance.ui.previewOvertime;ar-EG;معاينة الأوفر تايم
v246-0173;manualAttendance.ui.previousHalf;en-US;Previous half-month
v246-0174;manualAttendance.ui.previousHalf;ar-EG;النصف السابق
v246-0175;manualAttendance.ui.refresh;en-US;🔄 Refresh data
v246-0176;manualAttendance.ui.refresh;ar-EG;🔄 تحديث البيانات
v246-0177;manualAttendance.ui.refreshHelp;en-US;Refresh data — reload the matrix from the server
v246-0178;manualAttendance.ui.refreshHelp;ar-EG;تحديث البيانات — إعادة تحميل المصفوفة من الخادم
v246-0179;manualAttendance.ui.rules;en-US;📊 Attendance calculation rules
v246-0180;manualAttendance.ui.rules;ar-EG;📊 قواعد احتساب الحضور والانصراف
v246-0181;manualAttendance.ui.sampleFullShift;en-US;Full shift
v246-0182;manualAttendance.ui.sampleFullShift;ar-EG;وردية كاملة
v246-0183;manualAttendance.ui.saveError;en-US;An error occurred while saving: {detail}
v246-0184;manualAttendance.ui.saveError;ar-EG;حدث خطأ أثناء الحفظ: {detail}
v246-0185;manualAttendance.ui.saveSuccess;en-US;Saved: {created} created, {updated} updated, {skipped} unchanged.
v246-0186;manualAttendance.ui.saveSuccess;ar-EG;تم الحفظ: {created} جديد، {updated} محدّث، {skipped} دون تغيير.
v246-0187;manualAttendance.ui.search;en-US;Search by name/code
v246-0188;manualAttendance.ui.search;ar-EG;بحث بالاسم/الكود
v246-0189;manualAttendance.ui.searchHelp;en-US;Worker search — enter a name or code
v246-0190;manualAttendance.ui.searchHelp;ar-EG;بحث العمال — اكتب الاسم أو الكود
v246-0191;manualAttendance.ui.searchPlaceholder;en-US;Search...
v246-0192;manualAttendance.ui.searchPlaceholder;ar-EG;ابحث...
v246-0193;manualAttendance.ui.selectAllVisible;en-US;Select all visible workers
v246-0194;manualAttendance.ui.selectAllVisible;ar-EG;تحديد جميع العمال الظاهرين
v246-0195;manualAttendance.ui.selectAllVisibleHelp;en-US;Select all — select or clear all visible workers
v246-0196;manualAttendance.ui.selectAllVisibleHelp;ar-EG;تحديد الكل — اختيار أو إلغاء اختيار جميع العمال الظاهرين
v246-0197;manualAttendance.ui.selectDate;en-US;Select date {date}
v246-0198;manualAttendance.ui.selectDate;ar-EG;تحديد تاريخ {date}
v246-0199;manualAttendance.ui.selectDateHelp;en-US;Select date — apply bulk actions to {date}
v246-0200;manualAttendance.ui.selectDateHelp;ar-EG;تحديد التاريخ — تطبيق الإجراءات الجماعية على {date}
v246-0201;manualAttendance.ui.selectWorker;en-US;Select worker {name}
v246-0202;manualAttendance.ui.selectWorker;ar-EG;تحديد العامل {name}
v246-0203;manualAttendance.ui.selectWorkerHelp;en-US;Select worker — {name}
v246-0204;manualAttendance.ui.selectWorkerHelp;ar-EG;تحديد العامل — {name}
v246-0205;manualAttendance.ui.selectWorkerWarning;en-US;Select at least one worker and one date
v246-0206;manualAttendance.ui.selectWorkerWarning;ar-EG;اختر عاملاً واحداً على الأقل
v246-0207;manualAttendance.ui.showInactive;en-US;Show inactive workers
v246-0208;manualAttendance.ui.showInactive;ar-EG;إظهار العمال غير النشطين
v246-0209;manualAttendance.ui.showInactiveHelp;en-US;Show inactive — include suspended workers in results
v246-0210;manualAttendance.ui.showInactiveHelp;ar-EG;إظهار غير النشطين — تضمين العمال الموقوفين في النتائج
v246-0211;manualAttendance.ui.skipped;en-US;Skipped unchanged:
v246-0212;manualAttendance.ui.skipped;ar-EG;متجاوز دون تغيير:
v246-0213;manualAttendance.ui.startDate;en-US;Start date
v246-0214;manualAttendance.ui.startDate;ar-EG;تاريخ البداية
v246-0215;manualAttendance.ui.startDateHelp;en-US;Start date — first day shown in the attendance matrix
v246-0216;manualAttendance.ui.startDateHelp;ar-EG;تاريخ البداية — أول يوم يظهر في مصفوفة الحضور
v246-0217;manualAttendance.ui.title;en-US;Worker attendance register — multi-day matrix
v246-0218;manualAttendance.ui.title;ar-EG;جدول تسجيل حضور العمالة — مصفوفة متعددة الأيام
v246-0219;manualAttendance.ui.totalAmountEgp;en-US;Total (EGP)
v246-0220;manualAttendance.ui.totalAmountEgp;ar-EG;الإجمالي (ج.م)
v246-0221;manualAttendance.ui.totalDays;en-US;Total days
v246-0222;manualAttendance.ui.totalDays;ar-EG;إجمالي أيام
v246-0223;manualAttendance.ui.unsavedCells;en-US;{count} unsaved modified cells
v246-0224;manualAttendance.ui.unsavedCells;ar-EG;{count} خلية معدلة غير محفوظة
v246-0225;manualAttendance.ui.updated;en-US;Updated:
v246-0226;manualAttendance.ui.updated;ar-EG;محدّث:
v246-0227;manualAttendance.ui.workerCode;en-US;Worker code
v246-0228;manualAttendance.ui.workerCode;ar-EG;كود العامل
v246-0229;manualAttendance.ui.workerInactive;en-US;Inactive
v246-0230;manualAttendance.ui.workerInactive;ar-EG;غير نشط
v246-0231;manualAttendance.ui.workerName;en-US;Worker name
v246-0232;manualAttendance.ui.workerName;ar-EG;اسم العامل
v246-0233;reportsImport.ui.attendance;en-US;Attendance
v246-0234;reportsImport.ui.attendance;ar-EG;الحضور
v246-0235;reportsImport.ui.attendanceValue;en-US;Attendance value
v246-0236;reportsImport.ui.attendanceValue;ar-EG;قيمة الحضور
v246-0237;reportsImport.ui.availableReports;en-US;Available reports
v246-0238;reportsImport.ui.availableReports;ar-EG;التقارير المتاحة فعلياً
v246-0239;reportsImport.ui.checksum;en-US;Checksum
v246-0240;reportsImport.ui.checksum;ar-EG;بصمة
v246-0241;reportsImport.ui.chooseFile;en-US;Choose file
v246-0242;reportsImport.ui.chooseFile;ar-EG;اختر ملفاً
v246-0243;reportsImport.ui.commit;en-US;5. Execute import
v246-0244;reportsImport.ui.commit;ar-EG;5. تنفيذ الاستيراد
v246-0245;reportsImport.ui.commitSummary;en-US;Created {created} records, updated {updated}, and skipped {skipped} invalid rows.
v246-0246;reportsImport.ui.commitSummary;ar-EG;تم إنشاء {created} سجل وتحديث {updated} وتجاوز {skipped} صف غير صالح.
v246-0247;reportsImport.ui.completed;en-US;6. Completed
v246-0248;reportsImport.ui.completed;ar-EG;6. تم التنفيذ
v246-0249;reportsImport.ui.date;en-US;Date
v246-0250;reportsImport.ui.date;ar-EG;التاريخ
v246-0251;reportsImport.ui.description;en-US;A persisted workflow from upload through preview, execution, and reversal.
v246-0252;reportsImport.ui.description;ar-EG;دورة محفوظة من رفع الملف حتى المعاينة والتنفيذ والتراجع.
v246-0253;reportsImport.ui.downloadErrors;en-US;Download Excel error file
v246-0254;reportsImport.ui.downloadErrors;ar-EG;تنزيل ملف الأخطاء Excel
v246-0255;reportsImport.ui.downloadOriginal;en-US;Download original file
v246-0256;reportsImport.ui.downloadOriginal;ar-EG;تنزيل الملف الأصلي
v246-0257;reportsImport.ui.errorPolicy;en-US;Errors are not hidden. Download the error file or import only valid rows.
v246-0258;reportsImport.ui.errorPolicy;ar-EG;لن تُخفى الأخطاء. يمكنك تنزيل ملف الأخطاء أو تنفيذ الصفوف الصحيحة فقط.
v246-0259;reportsImport.ui.errors;en-US;Errors
v246-0260;reportsImport.ui.errors;ar-EG;أخطاء
v246-0261;reportsImport.ui.eyebrow;en-US;Integration and reports
v246-0262;reportsImport.ui.eyebrow;ar-EG;التكامل والتقارير
v246-0263;reportsImport.ui.history;en-US;Import history
v246-0264;reportsImport.ui.history;ar-EG;سجل عمليات الاستيراد
v246-0265;reportsImport.ui.mappingTitle;en-US;2. Map columns
v246-0266;reportsImport.ui.mappingTitle;ar-EG;2. مطابقة الأعمدة
v246-0267;reportsImport.ui.noFileChosen;en-US;No file chosen
v246-0268;reportsImport.ui.noFileChosen;ar-EG;لم يتم اختيار ملف
v246-0269;reportsImport.ui.noHistory;en-US;No previous imports.
v246-0270;reportsImport.ui.noHistory;ar-EG;لا توجد عمليات سابقة.
v246-0271;reportsImport.ui.open;en-US;Open
v246-0272;reportsImport.ui.open;ar-EG;فتح
v246-0273;reportsImport.ui.operationFailed;en-US;The operation could not be completed.
v246-0274;reportsImport.ui.operationFailed;ar-EG;تعذر تنفيذ العملية.
v246-0275;reportsImport.ui.original;en-US;Original
v246-0276;reportsImport.ui.original;ar-EG;الأصل
v246-0277;reportsImport.ui.previewTitle;en-US;4. Preview before saving
v246-0278;reportsImport.ui.previewTitle;ar-EG;4. معاينة قبل الحفظ
v246-0279;reportsImport.ui.realReportsOnly;en-US;Reports without a working action are hidden so placeholder buttons are not shown.
v246-0280;reportsImport.ui.realReportsOnly;ar-EG;تم إخفاء أي تقرير لا يملك إجراءً فعلياً حتى لا تظهر أزرار وهمية.
v246-0281;reportsImport.ui.reportsLink;en-US;Settlement, attendance, payable, advance, and contractor reports →
v246-0282;reportsImport.ui.reportsLink;ar-EG;كشوف التسوية والحضور والمستحقات والسلف والمقاولين ⇦
v246-0283;reportsImport.ui.reverse;en-US;Create reversal and roll back
v246-0284;reportsImport.ui.reverse;ar-EG;إنشاء قيد عكسي والتراجع
v246-0285;reportsImport.ui.row;en-US;Row
v246-0286;reportsImport.ui.row;ar-EG;الصف
v246-0287;reportsImport.ui.saveMapping;en-US;Save mapping
v246-0288;reportsImport.ui.saveMapping;ar-EG;حفظ المطابقة
v246-0289;reportsImport.ui.status.imported;en-US;Imported
v246-0290;reportsImport.ui.status.imported;ar-EG;تم الاستيراد
v246-0291;reportsImport.ui.status.mapped;en-US;Mapped
v246-0292;reportsImport.ui.status.mapped;ar-EG;تمت المطابقة
v246-0293;reportsImport.ui.status.ready;en-US;Ready
v246-0294;reportsImport.ui.status.ready;ar-EG;جاهز
v246-0295;reportsImport.ui.status.reversed;en-US;Reversed
v246-0296;reportsImport.ui.status.reversed;ar-EG;تم التراجع
v246-0297;reportsImport.ui.status.uploaded;en-US;Uploaded
v246-0298;reportsImport.ui.status.uploaded;ar-EG;مرفوع
v246-0299;reportsImport.ui.status.validated;en-US;Validated with errors
v246-0300;reportsImport.ui.status.validated;ar-EG;تم التحقق مع أخطاء
v246-0301;reportsImport.ui.statusReason;en-US;Status / reason
v246-0302;reportsImport.ui.statusReason;ar-EG;الحالة / السبب
v246-0303;reportsImport.ui.step1;en-US;1 Upload file
v246-0304;reportsImport.ui.step1;ar-EG;1 رفع الملف
v246-0305;reportsImport.ui.step2;en-US;2 Map columns
v246-0306;reportsImport.ui.step2;ar-EG;2 مطابقة الأعمدة
v246-0307;reportsImport.ui.step3;en-US;3 Validate
v246-0308;reportsImport.ui.step3;ar-EG;3 التحقق
v246-0309;reportsImport.ui.step4;en-US;4 Preview
v246-0310;reportsImport.ui.step4;ar-EG;4 المعاينة
v246-0311;reportsImport.ui.step5;en-US;5 Execute
v246-0312;reportsImport.ui.step5;ar-EG;5 التنفيذ
v246-0313;reportsImport.ui.step6;en-US;6 Results
v246-0314;reportsImport.ui.step6;ar-EG;6 النتائج
v246-0315;reportsImport.ui.title;en-US;Import worker reports from Excel
v246-0316;reportsImport.ui.title;ar-EG;استيراد تقارير العمال من Excel
v246-0317;reportsImport.ui.total;en-US;Total
v246-0318;reportsImport.ui.total;ar-EG;إجمالي
v246-0319;reportsImport.ui.undo;en-US;Reverse
v246-0320;reportsImport.ui.undo;ar-EG;تراجع
v246-0321;reportsImport.ui.uploadOriginal;en-US;Upload and save original file
v246-0322;reportsImport.ui.uploadOriginal;ar-EG;رفع وحفظ الملف الأصلي
v246-0323;reportsImport.ui.uploadTitle;en-US;1. Upload XLSX file
v246-0324;reportsImport.ui.uploadTitle;ar-EG;1. رفع ملف XLSX
v246-0325;reportsImport.ui.uploading;en-US;Uploading…
v246-0326;reportsImport.ui.uploading;ar-EG;جارٍ الرفع…
v246-0327;reportsImport.ui.valid;en-US;Valid
v246-0328;reportsImport.ui.valid;ar-EG;صحيح
v246-0329;reportsImport.ui.validOnly;en-US;Import valid rows only and isolate invalid rows
v246-0330;reportsImport.ui.validOnly;ar-EG;استيراد الصفوف الصحيحة فقط وعزل الصفوف الخاطئة
v246-0331;reportsImport.ui.validate;en-US;3. Validate data
v246-0332;reportsImport.ui.validate;ar-EG;3. التحقق من البيانات
v246-0333;reportsImport.ui.workDate;en-US;Work date
v246-0334;reportsImport.ui.workDate;ar-EG;تاريخ العمل
v246-0335;reportsImport.ui.worker;en-US;Worker
v246-0336;reportsImport.ui.worker;ar-EG;العامل
v246-0337;reportsImport.ui.workerCode;en-US;Worker code
v246-0338;reportsImport.ui.workerCode;ar-EG;كود العامل
v246-0339;workforce.ui.actions;en-US;Actions
v246-0340;workforce.ui.actions;ar-EG;إجراءات
v246-0341;workforce.ui.active;en-US;Active
v246-0342;workforce.ui.active;ar-EG;نشط
v246-0343;workforce.ui.advances.activeStatus;en-US;Active
v246-0344;workforce.ui.advances.activeStatus;ar-EG;نشطة
v246-0345;workforce.ui.advances.afterRepayment;en-US;Balance after repayment:
v246-0346;workforce.ui.advances.afterRepayment;ar-EG;الرصيد بعد السداد:
v246-0347;workforce.ui.advances.amountRequired;en-US;Advance amount (EGP) *
v246-0348;workforce.ui.advances.amountRequired;ar-EG;مبلغ السُلفة (ج.م) *
v246-0349;workforce.ui.advances.amountRequiredWarning;en-US;Enter the advance amount
v246-0350;workforce.ui.advances.amountRequiredWarning;ar-EG;يجب إدخال مبلغ السلفة
v246-0351;workforce.ui.advances.approveDisburse;en-US;Approve and disburse advance
v246-0352;workforce.ui.advances.approveDisburse;ar-EG;اعتماد وصرف السلفة
v246-0353;workforce.ui.advances.auto;en-US;Automatic
v246-0354;workforce.ui.advances.auto;ar-EG;تلقائي
v246-0355;workforce.ui.advances.autoDeduction;en-US;Automatic deduction
v246-0356;workforce.ui.advances.autoDeduction;ar-EG;خصم تلقائي
v246-0357;workforce.ui.advances.autoSettlement;en-US;Automatic with settlement
v246-0358;workforce.ui.advances.autoSettlement;ar-EG;تلقائي مع التسوية
v246-0359;workforce.ui.advances.autoWithSettlement;en-US;Automatic — deducted with each settlement
v246-0360;workforce.ui.advances.autoWithSettlement;ar-EG;تلقائي — يُخصم مع كل تسوية
v246-0361;workforce.ui.advances.bankTransfer;en-US;Bank transfer
v246-0362;workforce.ui.advances.bankTransfer;ar-EG;تحويل بنكي
v246-0363;workforce.ui.advances.beforeRepayment;en-US;Balance before repayment:
v246-0364;workforce.ui.advances.beforeRepayment;ar-EG;الرصيد قبل السداد:
v246-0365;workforce.ui.advances.beneficiary;en-US;Beneficiary
v246-0366;workforce.ui.advances.beneficiary;ar-EG;المستفيد
v246-0367;workforce.ui.advances.cash;en-US;Cash
v246-0368;workforce.ui.advances.cash;ar-EG;نقداً
v246-0369;workforce.ui.advances.categoryRequired;en-US;Category *
v246-0370;workforce.ui.advances.categoryRequired;ar-EG;الفئة *
v246-0371;workforce.ui.advances.cheque;en-US;Cheque
v246-0372;workforce.ui.advances.cheque;ar-EG;شيك
