id;key;locale;text
v267-047;industryPack.creditControl;en-US;Credit Control
v267-048;industryPack.creditControl;ar-EG;الرقابة الائتمانية
v267-049;industryPack.expiryWindowsDays;en-US;Expiry Warning Windows (days)
v267-050;industryPack.expiryWindowsDays;ar-EG;فترات التنبيه لانتهاء الصلاحية (بالأيام)
v267-051;industryPack.actions;en-US;Actions
v267-052;industryPack.actions;ar-EG;الإجراءات
v267-053;industryPack.roleReadiness;en-US;Role Readiness
v267-054;industryPack.roleReadiness;ar-EG;جاهزية الأدوار
v267-055;industryPack.activeRoles;en-US;Operational Roles
v267-056;industryPack.activeRoles;ar-EG;الأدوار التشغيلية
v267-057;onboarding.selectPack;en-US;Select Industry Pack
v267-058;onboarding.selectPack;ar-EG;اختر حزمة النشاط
v267-059;onboarding.noPacksInstalled;en-US;No Industry Pack installed
v267-060;onboarding.noPacksInstalled;ar-EG;لم يتم تثبيت أي حزمة نشاط
v267-061;onboarding.noPacksInstalledDescription;en-US;Install an Industry Pack from System Settings to enable guided vertical onboarding.
v267-062;onboarding.noPacksInstalledDescription;ar-EG;ثبّت حزمة نشاط من إعدادات النظام لتفعيل التجهيز الموجّه المخصص.
v267-063;onboarding.goToSettings;en-US;Go to Industry Packs
v267-064;onboarding.goToSettings;ar-EG;الانتقال إلى حزم النشاط
v267-065;onboarding.viewHistory;en-US;View History
v267-066;onboarding.viewHistory;ar-EG;عرض السجل
v267-067;platformAdmin.description;en-US;Platform administration, subscriptions, support, and analytics
v267-068;platformAdmin.description;ar-EG;إدارة المنصة، والاشتراكات، والدعم، والتحليلات
v267-069;industryPack.terminologyEmployee;en-US;Employee Terminology
v267-070;industryPack.terminologyEmployee;ar-EG;تسمية الموظفين
v267-071;industryPack.terminologySupplier;en-US;Supplier Terminology
v267-072;industryPack.terminologySupplier;ar-EG;تسمية الموردين
v267-073;industryPack.fefo;en-US;First Expired First Out (FEFO)
v267-074;industryPack.fefo;ar-EG;الوارد أولاً ينتهي أولاً (FEFO)
v267-075;industryPack.fifo;en-US;First In First Out (FIFO)
v267-076;industryPack.fifo;ar-EG;الوارد أولاً يصرف أولاً (FIFO)
