id;key;locale;value
v445-ar-022;workOrder.newTicket;ar-EG;أمر شغل جديد
v445-en-022;workOrder.newTicket;en-US;New Work Order
v445-ar-023;workOrder.ticketNo;ar-EG;رقم التذكرة
v445-en-023;workOrder.ticketNo;en-US;Ticket #
v445-ar-024;workOrder.promisedAt;ar-EG;موعد التسليم المتوقع
v445-en-024;workOrder.promisedAt;en-US;Promised Date
v445-ar-025;workOrder.laborTotal;ar-EG;إجمالي العمالة
v445-en-025;workOrder.laborTotal;en-US;Labor Total
v445-ar-026;workOrder.partsTotal;ar-EG;إجمالي قطع الغيار
v445-en-026;workOrder.partsTotal;en-US;Parts Total
v445-ar-027;workOrder.grandTotal;ar-EG;الإجمالي النهائي
v445-en-027;workOrder.grandTotal;en-US;Grand Total
v445-ar-028;workOrder.addLabor;ar-EG;إضافة بند عمالة
v445-en-028;workOrder.addLabor;en-US;Add Labor Line
v445-ar-029;workOrder.addPart;ar-EG;إضافة قطعة غيار من المستودع
v445-en-029;workOrder.addPart;en-US;Add Part from Stock
v445-ar-030;workOrder.deliver;ar-EG;تسليم وإصدار فاتورة مسودة
v445-en-030;workOrder.deliver;en-US;Deliver & Create Draft Invoice
v445-ar-031;booking.newBooking;ar-EG;حجز مورد جديد
v445-en-031;booking.newBooking;en-US;New Resource Booking
v445-ar-032;booking.resource;ar-EG;المورد / المساحة
v445-en-032;booking.resource;en-US;Resource / Space
v445-ar-033;booking.startTime;ar-EG;وقت البدء
v445-en-033;booking.startTime;en-US;Start Time
v445-ar-034;booking.endTime;ar-EG;وقت الانتهاء
v445-en-034;booking.endTime;en-US;End Time
v445-ar-035;booking.capacity;ar-EG;السعة
v445-en-035;booking.capacity;en-US;Capacity
v445-ar-036;booking.location;ar-EG;الموقع
v445-en-036;booking.location;en-US;Location
v445-ar-037;RENTAL_ITEM_NOT_FOUND;ar-EG;معدة التأجير المطلوبة غير موجودة.
v445-en-037;RENTAL_ITEM_NOT_FOUND;en-US;Rental item not found.
v445-ar-038;RENTAL_CONTRACT_NOT_FOUND;ar-EG;عقد التأجير المطلوب غير موجود.
v445-en-038;RENTAL_CONTRACT_NOT_FOUND;en-US;Rental contract not found.
v445-ar-039;RENTAL_CONTRACT_INVALID_STATE;ar-EG;حالة عقد التأجير لا تسمح بتنفيذ هذا الإجراء.
v445-en-039;RENTAL_CONTRACT_INVALID_STATE;en-US;Rental contract status does not allow this action.
v445-ar-040;RENTAL_ITEM_NOT_AVAILABLE;ar-EG;معدة التأجير غير متاحة حالياً للتأجير.
v445-en-040;RENTAL_ITEM_NOT_AVAILABLE;en-US;Rental item is currently not available for rental.
v445-ar-041;WORK_ORDER_NOT_FOUND;ar-EG;أمر الشغل المطلوب غير موجود.
v445-en-041;WORK_ORDER_NOT_FOUND;en-US;Work order not found.
v445-ar-042;WORK_ORDER_INVALID_STATE;ar-EG;حالة أمر الشغل لا تسمح بهذا الانتقال.
v445-en-042;WORK_ORDER_INVALID_STATE;en-US;Work order status transition is not allowed.
v445-ar-043;WORK_ORDER_PARTS_REQUIRED;ar-EG;يتطلب إنهاء أمر الشغل إما صرف قطع الغيار أو تدوين ملاحظة استثناء.
v445-en-043;WORK_ORDER_PARTS_REQUIRED;en-US;Completing this work order requires parts to be issued or an override note provided.
v445-ar-044;BOOKING_RESOURCE_NOT_FOUND;ar-EG;المورد المطلوب للحجز غير موجود.
v445-en-044;BOOKING_RESOURCE_NOT_FOUND;en-US;Bookable resource not found.
v445-ar-045;BOOKING_RESOURCE_INACTIVE;ar-EG;هذا المورد معطل حالياً ولا يقبل الحجوزات.
v445-en-045;BOOKING_RESOURCE_INACTIVE;en-US;This resource is currently inactive.
v445-ar-046;BOOKING_COLLISION_DETECTED;ar-EG;المورد محجوز بالفعل في هذه الفترة الزمنية المحددة.
v445-en-046;BOOKING_COLLISION_DETECTED;en-US;Resource booking conflict detected for the selected time window.
v445-ar-047;BOOKING_INVALID_TIME_RANGE;ar-EG;وقت بدء الحجز يجب أن يكون قبل وقت الانتهاء.
v445-en-047;BOOKING_INVALID_TIME_RANGE;en-US;Booking start time must be before end time.
v445-ar-048;common.hours;ar-EG;الساعات
v445-en-048;common.hours;en-US;Hours
v445-ar-049;common.party;ar-EG;الجهة / العميل
v445-en-049;common.party;en-US;Party / Customer
v445-ar-050;common.price;ar-EG;السعر
v445-en-050;common.price;en-US;Price
v445-ar-051;common.priority;ar-EG;الأولوية
v445-en-051;common.priority;en-US;Priority
v445-ar-052;marketing.template;ar-EG;القالب
v445-en-052;marketing.template;en-US;Template

