id;message_key;locale;message_value;description
v429-027;clinic.tabExamTemplates;ar-EG;الفحوصات التخصصية;
v429-028;clinic.tabExamTemplates;en-US;Specialty Exam Forms;
v429-029;clinic.toothNumber;ar-EG;رقم السن (FDI);
v429-030;clinic.toothNumber;en-US;Tooth Number (FDI);
v429-031;clinic.toothCondition;ar-EG;حالة السن;
v429-032;clinic.toothCondition;en-US;Tooth Condition;
v429-033;clinic.toothSurface;ar-EG;سطح السن;
v429-034;clinic.toothSurface;en-US;Tooth Surface;
v429-035;clinic.healthy;ar-EG;سليم;
v429-036;clinic.healthy;en-US;Healthy;
v429-037;clinic.caries;ar-EG;تسوس;
v429-038;clinic.caries;en-US;Caries;
v429-039;clinic.filled;ar-EG;حشو / ترميم;
v429-040;clinic.filled;en-US;Filled;
v429-041;clinic.crown;ar-EG;تاج / طربوش;
v429-042;clinic.crown;en-US;Crown;
v429-043;clinic.missing;ar-EG;مفقود;
v429-044;clinic.missing;en-US;Missing;
v429-045;clinic.implant;ar-EG;زرعة;
v429-046;clinic.implant;en-US;Implant;
v429-047;clinic.rootCanal;ar-EG;علاج جذور / عصب;
v429-048;clinic.rootCanal;en-US;Root Canal;
v429-049;clinic.extractionPlanned;ar-EG;مخطط خلع;
v429-050;clinic.extractionPlanned;en-US;Extraction Planned;
v429-051;clinic.planTitle;ar-EG;عنوان خطة العلاج;
v429-052;clinic.planTitle;en-US;Treatment Plan Title;
v429-053;clinic.estimatedCost;ar-EG;التكلفة التقديرية;
v429-054;clinic.estimatedCost;en-US;Estimated Cost;
v429-055;clinic.markDone;ar-EG;تم الإنجاز;
v429-056;clinic.markDone;en-US;Mark Done;
v429-057;clinic.examSpecialty;ar-EG;التخصص الطبي;
v429-058;clinic.examSpecialty;en-US;Medical Specialty;
v429-059;clinic.examTemplateName;ar-EG;اسم نموذج الفحص;
v429-060;clinic.examTemplateName;en-US;Exam Template Name;
v429-061;clinic.submitExam;ar-EG;حفظ نتائج الفحص;
v429-062;clinic.submitExam;en-US;Submit Exam Results;
v429-063;clinic.addPlanItem;ar-EG;إضافة إجراء للخطة;
v429-064;clinic.addPlanItem;en-US;Add Plan Item;
v429-065;clinic.upperRight;ar-EG;علوي يمين;
v429-066;clinic.upperRight;en-US;Upper Right;
v429-067;clinic.upperLeft;ar-EG;علوي يسار;
v429-068;clinic.upperLeft;en-US;Upper Left;
v429-069;clinic.lowerLeft;ar-EG;سفلي يسار;
v429-070;clinic.lowerLeft;en-US;Lower Left;
v429-071;clinic.lowerRight;ar-EG;سفلي يمين;
v429-072;clinic.lowerRight;en-US;Lower Right;
v429-073;clinic.allergiesNotes;ar-EG;ملاحظات وتفاصيل;
v429-074;clinic.allergiesNotes;en-US;Notes & Observations;
v429-075;clinic.patients;ar-EG;المرضى;
v429-076;clinic.patients;en-US;Patients;
v429-077;clinic.surfaceOcclusal;ar-EG;إطباقي (Occlusal);
v429-078;clinic.surfaceOcclusal;en-US;Occlusal;
v429-079;clinic.surfaceMesial;ar-EG;إنسي (Mesial);
v429-080;clinic.surfaceMesial;en-US;Mesial;
v429-081;clinic.surfaceDistal;ar-EG;وحشي (Distal);
v429-082;clinic.surfaceDistal;en-US;Distal;
v429-083;clinic.surfaceBuccal;ar-EG;دهليزي / شداقي (Buccal);
v429-084;clinic.surfaceBuccal;en-US;Buccal;
v429-085;clinic.surfaceLingual;ar-EG;لساني (Lingual);
v429-086;clinic.surfaceLingual;en-US;Lingual;
