id;message_key;locale;message_value;description
v427-051;hospital.totalBeds;ar-EG;إجمالي الأسرة;
v427-052;hospital.totalBeds;en-US;Total Beds;
v427-053;hospital.occupiedBeds;ar-EG;الأسرة المشغولة;
v427-054;hospital.occupiedBeds;en-US;Occupied Beds;
v427-055;hospital.alos;ar-EG;متوسط مدة الإقامة (أيام);
v427-056;hospital.alos;en-US;Avg Length of Stay (ALOS);
v427-057;hospital.theaterName;ar-EG;اسم غرفة العمليات;
v427-058;hospital.theaterName;en-US;Theater Name;
v427-059;hospital.surgeon;ar-EG;الطبيب الجراح;
v427-060;hospital.surgeon;en-US;Surgeon;
v427-061;hospital.surgeryType;ar-EG;نوع العملية الجراحية;
v427-062;hospital.surgeryType;en-US;Surgery Type;
v427-063;hospital.plannedStart;ar-EG;الموعد المخطط;
v427-064;hospital.plannedStart;en-US;Planned Start;
v427-065;hospital.durationMinutes;ar-EG;المدة (دقيقة);
v427-066;hospital.durationMinutes;en-US;Duration (min);
v427-067;hospital.implantCharges;ar-EG;مستلزمات وغرسات العملية;
v427-068;hospital.implantCharges;en-US;Implants & Consumables;
v427-069;hospital.addCharge;ar-EG;إضافة مستلزم / غرسة;
v427-070;hospital.addCharge;en-US;Add Implant / Consumable;
v427-071;hospital.marTimeline;ar-EG;سجل إعطاء الأدوية (MAR);
v427-072;hospital.marTimeline;en-US;Medication Admin Record (MAR);
v427-073;hospital.medicationName;ar-EG;اسم الدواء;
v427-074;hospital.medicationName;en-US;Medication;
v427-075;hospital.dose;ar-EG;الجرعة;
v427-076;hospital.dose;en-US;Dose;
v427-077;hospital.route;ar-EG;طريقة الإعطاء;
v427-078;hospital.route;en-US;Route;
v427-079;hospital.dueTime;ar-EG;موعد الجرعة;
v427-080;hospital.dueTime;en-US;Due Time;
v427-081;hospital.actionGiven;ar-EG;تم الإعطاء;
v427-082;hospital.actionGiven;en-US;Given;
v427-083;hospital.actionRefused;ar-EG;رفض المريض;
v427-084;hospital.actionRefused;en-US;Refused;
v427-085;hospital.actionHeld;ar-EG;إيقاف مؤقت;
v427-086;hospital.actionHeld;en-US;Held;
v427-087;hospital.fluidIo;ar-EG;ميزان السوائل (I/O);
v427-088;hospital.fluidIo;en-US;Fluid Intake / Output (I/O);
v427-089;hospital.totalIntake;ar-EG;إجمالي الداخل;
v427-090;hospital.totalIntake;en-US;Total Intake;
v427-091;hospital.totalOutput;ar-EG;إجمالي الخارج;
v427-092;hospital.totalOutput;en-US;Total Output;
v427-093;hospital.netBalance;ar-EG;صافي السوائل;
v427-094;hospital.netBalance;en-US;Net Fluid Balance;
v427-095;hospital.nursingNotes;ar-EG;ملاحظات التمريض;
v427-096;hospital.nursingNotes;en-US;Nursing Notes;
v427-097;hospital.addNote;ar-EG;إضافة ملاحظة تمريض;
v427-098;hospital.addNote;en-US;Add Nursing Note;
v427-099;clinic.addMedication;ar-EG;إضافة دواء / جرعة;
v427-100;clinic.addMedication;en-US;Add Medication / Dose;
v427-101;clinic.newAppointment;ar-EG;حجز موعد / جدول جديد;
v427-102;clinic.newAppointment;en-US;Schedule Surgery / Appointment;
v427-103;clinic.reason;ar-EG;السبب / الشكوى;
v427-104;clinic.reason;en-US;Reason / Complaint;
v427-105;common.unitPrice;ar-EG;سعر الوحدة;
v427-106;common.unitPrice;en-US;Unit Price;
