id;permission_key;module;submodule;description_key;action;is_system;created_at
p-cont-014;contracting:dpr:approve;contracting;dpr;perm.contracting.dpr.approve;approve;true;1787270400000
p-cont-015;contracting:dpr:reopen;contracting;dpr;perm.contracting.dpr.reopen;reopen;true;1787270400000
p-cont-016;contracting:tender:read;contracting;tenders;perm.contracting.tender.read;read;true;1787270400000
p-cont-017;contracting:tender:create;contracting;tenders;perm.contracting.tender.create;create;true;1787270400000
p-cont-018;contracting:tender:evaluate;contracting;tenders;perm.contracting.tender.evaluate;evaluate;true;1787270400000
p-cont-019;contracting:tender:award;contracting;tenders;perm.contracting.tender.award;award;true;1787270400000
p-cont-020;contracting:claim:read;contracting;claims;perm.contracting.claim.read;read;true;1787270400000
p-cont-021;contracting:claim:create;contracting;claims;perm.contracting.claim.create;create;true;1787270400000
p-cont-022;contracting:claim:update;contracting;claims;perm.contracting.claim.update;update;true;1787270400000
p-cont-023;contracting:claim:approve;contracting;claims;perm.contracting.claim.approve;approve;true;1787270400000
p-cont-024;contracting:claim:reopen;contracting;claims;perm.contracting.claim.reopen;reopen;true;1787270400000
p-cont-025;contracting:cost:read;contracting;cost_control;perm.contracting.cost.read;read;true;1787270400000
p-cont-026;contracting:cost:budget_revise;contracting;cost_control;perm.contracting.cost.budget_revise;revise;true;1787270400000
p-cont-027;contracting:schedule:manage;contracting;schedules;perm.contracting.schedule.manage;manage;true;1787270400000
p-mfg-001;manufacturing:bom:read;manufacturing;bom;perm.manufacturing.bom.read;read;true;1787270400000
p-mfg-002;manufacturing:bom:create;manufacturing;bom;perm.manufacturing.bom.create;create;true;1787270400000
p-mfg-003;manufacturing:bom:update;manufacturing;bom;perm.manufacturing.bom.update;update;true;1787270400000
p-mfg-004;manufacturing:bom:cost_rollup;manufacturing;bom;perm.manufacturing.bom.cost_rollup;calculate;true;1787270400000
p-mfg-005;manufacturing:routing:read;manufacturing;routing;perm.manufacturing.routing.read;read;true;1787270400000
p-mfg-006;manufacturing:routing:manage;manufacturing;routing;perm.manufacturing.routing.manage;manage;true;1787270400000
p-mfg-007;manufacturing:work_center:manage;manufacturing;work_centers;perm.manufacturing.work_center.manage;manage;true;1787270400000
p-mfg-008;manufacturing:order:read;manufacturing;orders;perm.manufacturing.order.read;read;true;1787270400000
p-mfg-009;manufacturing:order:create;manufacturing;orders;perm.manufacturing.order.create;create;true;1787270400000
p-mfg-010;manufacturing:order:release;manufacturing;orders;perm.manufacturing.order.release;release;true;1787270400000
p-mfg-011;manufacturing:order:cancel;manufacturing;orders;perm.manufacturing.order.cancel;cancel;true;1787270400000
p-mfg-012;manufacturing:material:issue;manufacturing;material_issue;perm.manufacturing.material.issue;issue;true;1787270400000
p-mfg-013;manufacturing:material:reserve;manufacturing;material_reservation;perm.manufacturing.material.reserve;reserve;true;1787270400000
p-mfg-014;manufacturing:receipt:record;manufacturing;receipts;perm.manufacturing.receipt.record;receive;true;1787270400000
p-mfg-015;manufacturing:variance:close;manufacturing;variance_close;perm.manufacturing.variance.close;close;true;1787270400000
p-mfg-016;manufacturing:quality:inspect;manufacturing;quality;perm.manufacturing.quality.inspect;inspect;true;1787270400000
p-mfg-017;manufacturing:disposition:manage;manufacturing;quality;perm.manufacturing.disposition.manage;manage;true;1787270400000
p-fin-001;finance:account:read;finance;accounts;perm.finance.account.read;read;true;1787270400000
p-fin-002;finance:account:manage;finance;accounts;perm.finance.account.manage;manage;true;1787270400000
p-fin-003;finance:journal:read;finance;journals;perm.finance.journal.read;read;true;1787270400000
p-fin-004;finance:journal:create;finance;journals;perm.finance.journal.create;create;true;1787270400000
p-fin-005;finance:journal:update;finance;journals;perm.finance.journal.update;update;true;1787270400000
p-fin-006;finance:journal:post;finance;journals;perm.finance.journal.post;post;true;1787270400000
p-fin-007;finance:journal:reverse;finance;journals;perm.finance.journal.reverse;reverse;true;1787270400000
p-fin-008;finance:period:read;finance;fiscal_periods;perm.finance.period.read;read;true;1787270400000
p-fin-009;finance:period:open;finance;fiscal_periods;perm.finance.period.open;open;true;1787270400000
p-fin-010;finance:period:close;finance;fiscal_periods;perm.finance.period.close;close;true;1787270400000
p-fin-011;finance:period:reopen;finance;fiscal_periods;perm.finance.period.reopen;reopen;true;1787270400000
p-fin-012;finance:budget:read;finance;budgets;perm.finance.budget.read;read;true;1787270400000
p-fin-013;finance:budget:create;finance;budgets;perm.finance.budget.create;create;true;1787270400000
p-fin-014;finance:budget:update;finance;budgets;perm.finance.budget.update;update;true;1787270400000
p-fin-015;finance:budget:revise;finance;budgets;perm.finance.budget.revise;revise;true;1787270400000
p-fin-016;finance:budget:encumber;finance;budgets;perm.finance.budget.encumber;encumber;true;1787270400000
p-fin-017;finance:payment:read;finance;payments;perm.finance.payment.read;read;true;1787270400000
p-fin-018;finance:payment:propose;finance;payments;perm.finance.payment.propose;propose;true;1787270400000
p-fin-019;finance:payment:approve;finance;payments;perm.finance.payment.approve;approve;true;1787270400000
p-fin-020;finance:payment:execute;finance;payments;perm.finance.payment.execute;execute;true;1787270400000
p-fin-021;finance:bank:reconcile;finance;bank_reconciliation;perm.finance.bank.reconcile;reconcile;true;1787270400000
p-fin-022;finance:bank:import;finance;bank_reconciliation;perm.finance.bank.import;import;true;1787270400000
p-fin-023;finance:cashbox:transact;finance;treasury;perm.finance.cashbox.transact;transact;true;1787270400000
p-fin-024;finance:cheque:clear;finance;treasury;perm.finance.cheque.clear;clear;true;1787270400000
p-fin-025;finance:fx:manage;finance;currency;perm.finance.fx.manage;manage;true;1787270400000
p-fin-026;finance:cost_center:read;finance;cost_centers;perm.finance.cost_center.read;read;true;1787270400000
p-fin-027;finance:cost_center:manage;finance;cost_centers;perm.finance.cost_center.manage;manage;true;1787270400000
p-fin-028;finance:statement:view;finance;statements;perm.finance.statement.view;view;true;1787270400000
p-fin-029;finance:ar:view_position;finance;receivables;perm.finance.ar.view_position;view;true;1787270400000
p-fin-030;finance:ap:view_position;finance;payables;perm.finance.ap.view_position;view;true;1787270400000
p-inv-001;inventory:item:read;inventory;items;perm.inventory.item.read;read;true;1787270400000
p-inv-002;inventory:item:create;inventory;items;perm.inventory.item.create;create;true;1787270400000
p-inv-003;inventory:item:update;inventory;items;perm.inventory.item.update;update;true;1787270400000
p-inv-004;inventory:item:delete;inventory;items;perm.inventory.item.delete;delete;true;1787270400000
p-inv-005;inventory:warehouse:read;inventory;warehouses;perm.inventory.warehouse.read;read;true;1787270400000
p-inv-006;inventory:warehouse:manage;inventory;warehouses;perm.inventory.warehouse.manage;manage;true;1787270400000
p-inv-007;inventory:stock:read;inventory;stock;perm.inventory.stock.read;read;true;1787270400000
p-inv-008;inventory:movement:create;inventory;movements;perm.inventory.movement.create;create;true;1787270400000
p-inv-009;inventory:transfer:read;inventory;transfers;perm.inventory.transfer.read;read;true;1787270400000
p-inv-010;inventory:transfer:create;inventory;transfers;perm.inventory.transfer.create;create;true;1787270400000
p-inv-011;inventory:transfer:ship;inventory;transfers;perm.inventory.transfer.ship;ship;true;1787270400000
p-inv-012;inventory:transfer:receive;inventory;transfers;perm.inventory.transfer.receive;receive;true;1787270400000
p-inv-013;inventory:transfer:cancel;inventory;transfers;perm.inventory.transfer.cancel;cancel;true;1787270400000
p-inv-014;inventory:lot:read;inventory;lots;perm.inventory.lot.read;read;true;1787270400000
p-inv-015;inventory:lot:manage;inventory;lots;perm.inventory.lot.manage;manage;true;1787270400000
p-inv-016;inventory:cycle_count:read;inventory;cycle_counts;perm.inventory.cycle_count.read;read;true;1787270400000
p-inv-017;inventory:cycle_count:create;inventory;cycle_counts;perm.inventory.cycle_count.create;create;true;1787270400000
p-inv-018;inventory:cycle_count:post;inventory;cycle_counts;perm.inventory.cycle_count.post;post;true;1787270400000
p-inv-019;inventory:reorder:manage;inventory;reorder;perm.inventory.reorder.manage;manage;true;1787270400000
p-inv-020;inventory:valuation:view;inventory;valuation;perm.inventory.valuation.view;view;true;1787270400000
p-inv-021;inventory:valuation:recalculate;inventory;valuation;perm.inventory.valuation.recalculate;recalculate;true;1787270400000
p-hr-001;hr:employee:read;hr;employees;perm.hr.employee.read;read;true;1787270400000
p-hr-002;hr:employee:create;hr;employees;perm.hr.employee.create;create;true;1787270400000
p-hr-003;hr:employee:update;hr;employees;perm.hr.employee.update;update;true;1787270400000
p-hr-004;hr:employee:deactivate;hr;employees;perm.hr.employee.deactivate;deactivate;true;1787270400000
p-hr-005;hr:contract:read;hr;contracts;perm.hr.contract.read;read;true;1787270400000
p-hr-006;hr:contract:manage;hr;contracts;perm.hr.contract.manage;manage;true;1787270400000
p-hr-007;hr:category:read;hr;categories;perm.hr.category.read;read;true;1787270400000
p-hr-008;hr:category:manage;hr;categories;perm.hr.category.manage;manage;true;1787270400000
p-hr-009;hr:biometric:import;hr;biometrics;perm.hr.biometric.import;import;true;1787270400000
p-hr-010;hr:biometric:device_manage;hr;biometrics;perm.hr.biometric.device_manage;manage;true;1787270400000
p-hr-011;hr:attendance:read;hr;attendance;perm.hr.attendance.read;read;true;1787270400000
p-hr-012;hr:attendance:enter;hr;attendance;perm.hr.attendance.enter;enter;true;1787270400000
p-hr-013;hr:attendance:review;hr;attendance;perm.hr.attendance.review;review;true;1787270400000
p-hr-014;hr:attendance:decide;hr;attendance;perm.hr.attendance.decide;decide;true;1787270400000
p-hr-015;hr:attendance:approve;hr;attendance;perm.hr.attendance.approve;approve;true;1787270400000
p-hr-016;hr:attendance:reopen;hr;attendance;perm.hr.attendance.reopen;reopen;true;1787270400000
p-hr-017;hr:holiday:manage;hr;holidays;perm.hr.holiday.manage;manage;true;1787270400000
p-hr-018;hr:leave:read;hr;leaves;perm.hr.leave.read;read;true;1787270400000
p-hr-019;hr:leave:request;hr;leaves;perm.hr.leave.request;request;true;1787270400000
p-hr-020;hr:leave:approve;hr;leaves;perm.hr.leave.approve;approve;true;1787270400000
p-hr-021;hr:leave:entitlement_manage;hr;leaves;perm.hr.leave.entitlement_manage;manage;true;1787270400000
p-hr-022;hr:payroll:read;hr;payroll;perm.hr.payroll.read;read;true;1787270400000
p-hr-023;hr:payroll:prepare;hr;payroll;perm.hr.payroll.prepare;prepare;true;1787270400000
p-hr-024;hr:payroll:approve;hr;payroll;perm.hr.payroll.approve;approve;true;1787270400000
p-hr-025;hr:payroll:view_salary;hr;payroll;perm.hr.payroll.view_salary;view;true;1787270400000
p-hr-026;hr:advance:read;hr;advances;perm.hr.advance.read;read;true;1787270400000
p-hr-027;hr:advance:request;hr;advances;perm.hr.advance.request;request;true;1787270400000
p-hr-028;hr:advance:approve;hr;advances;perm.hr.advance.approve;approve;true;1787270400000
p-hr-029;hr:performance:read;hr;performance;perm.hr.performance.read;read;true;1787270400000
p-hr-030;hr:performance:manage;hr;performance;perm.hr.performance.manage;manage;true;1787270400000
p-hr-031;hr:worker:read;hr;workforce;perm.hr.worker.read;read;true;1787270400000
p-hr-032;hr:worker:create;hr;workforce;perm.hr.worker.create;create;true;1787270400000
p-hr-033;hr:worker:update;hr;workforce;perm.hr.worker.update;update;true;1787270400000
p-hr-034;hr:worker:deactivate;hr;workforce;perm.hr.worker.deactivate;deactivate;true;1787270400000
p-hr-035;hr:contractor:read;hr;workforce;perm.hr.contractor.read;read;true;1787270400000
p-hr-036;hr:contractor:manage;hr;workforce;perm.hr.contractor.manage;manage;true;1787270400000
p-hr-037;hr:labor_request:read;hr;workforce;perm.hr.labor_request.read;read;true;1787270400000
p-hr-038;hr:labor_request:create;hr;workforce;perm.hr.labor_request.create;create;true;1787270400000
p-hr-039;hr:labor_request:approve;hr;workforce;perm.hr.labor_request.approve;approve;true;1787270400000
p-hr-040;hr:dispatch:dispute_manage;hr;workforce;perm.hr.dispatch.dispute_manage;manage;true;1787270400000
p-hr-041;hr:settlement:read;hr;workforce;perm.hr.settlement.read;read;true;1787270400000
p-hr-042;hr:settlement:prepare;hr;workforce;perm.hr.settlement.prepare;prepare;true;1787270400000
p-hr-043;hr:settlement:approve;hr;workforce;perm.hr.settlement.approve;approve;true;1787270400000
p-hr-044;hr:settlement:post_finance;hr;workforce;perm.hr.settlement.post_finance;post;true;1787270400000
p-hr-045;hr:settlement:pay;hr;workforce;perm.hr.settlement.pay;pay;true;1787270400000
p-comp-001;compliance:eta:read;compliance;eta;perm.compliance.eta.read;read;true;1787270400000
p-comp-002;compliance:eta:configure;compliance;eta;perm.compliance.eta.configure;configure;true;1787270400000
p-comp-003;compliance:eta:submit;compliance;eta;perm.compliance.eta.submit;submit;true;1787270400000
p-comp-004;compliance:eta:cancel;compliance;eta;perm.compliance.eta.cancel;cancel;true;1787270400000
p-comp-005;compliance:eta:item_map;compliance;eta;perm.compliance.eta.item_map;map;true;1787270400000
p-comp-006;compliance:audit:read;compliance;audit;perm.compliance.audit.read;read;true;1787270400000
p-comp-007;compliance:audit:export;compliance;audit;perm.compliance.audit.export;export;true;1787270400000
p-comp-008;compliance:partner_risk:view;compliance;partner_risk;perm.compliance.partner_risk.view;view;true;1787270400000
p-comp-009;compliance:partner_risk:manage;compliance;partner_risk;perm.compliance.partner_risk.manage;manage;true;1787270400000
p-acc-001;access:user:read;access;users;perm.access.user.read;read;true;1787270400000
p-acc-002;access:user:create;access;users;perm.access.user.create;create;true;1787270400000
p-acc-003;access:user:update;access;users;perm.access.user.update;update;true;1787270400000
p-acc-004;access:user:deactivate;access;users;perm.access.user.deactivate;deactivate;true;1787270400000
p-acc-005;access:role:assign;access;roles;perm.access.role.assign;assign;true;1787270400000
p-acc-006;access:policy:read;access;policies;perm.access.policy.read;read;true;1787270400000
p-acc-007;access:policy:create;access;policies;perm.access.policy.create;create;true;1787270400000
p-acc-008;access:policy:update;access;policies;perm.access.policy.update;update;true;1787270400000
p-acc-009;access:policy:delete;access;policies;perm.access.policy.delete;delete;true;1787270400000
p-acc-010;access:user_policy:assign;access;policies;perm.access.user_policy.assign;assign;true;1787270400000
p-acc-011;access:settings:read;access;settings;perm.access.settings.read;read;true;1787270400000
p-acc-012;access:settings:manage;access;settings;perm.access.settings.manage;manage;true;1787270400000
p-acc-013;access:tenant:manage;access;tenants;perm.access.tenant.manage;manage;true;1787270400000
p-acc-014;access:workflow:read;access;workflows;perm.access.workflow.read;read;true;1787270400000
p-acc-015;access:workflow:manage;access;workflows;perm.access.workflow.manage;manage;true;1787270400000
p-acc-016;access:notification:send;access;notifications;perm.access.notification.send;send;true;1787270400000
p-acc-017;access:shortcut:manage;access;shortcuts;perm.access.shortcut.manage;manage;true;1787270400000
p-acc-018;access:translation:manage;access;translations;perm.access.translation.manage;manage;true;1787270400000
p-acc-019;access:intercompany:manage;access;branches;perm.access.intercompany.manage;manage;true;1787270400000
p-acc-020;access:backup:manage;access;backups;perm.access.backup.manage;manage;true;1787270400000
p-acc-021;access:analytics:view;access;analytics;perm.access.analytics.view;view;true;1787270400000
p-vert-001;verticals:education:read;verticals;education;perm.verticals.education.read;read;true;1787270400000
p-vert-002;verticals:education:manage;verticals;education;perm.verticals.education.manage;manage;true;1787270400000
p-vert-003;verticals:tourism:read;verticals;tourism;perm.verticals.tourism.read;read;true;1787270400000
p-vert-004;verticals:tourism:manage;verticals;tourism;perm.verticals.tourism.manage;manage;true;1787270400000
p-vert-005;verticals:customs:read;verticals;customs;perm.verticals.customs.read;read;true;1787270400000
p-vert-006;verticals:customs:manage;verticals;customs;perm.verticals.customs.manage;manage;true;1787270400000
p-vert-007;verticals:logistics:read;verticals;logistics;perm.verticals.logistics.read;read;true;1787270400000
p-vert-008;verticals:logistics:manage;verticals;logistics;perm.verticals.logistics.manage;manage;true;1787270400000
